ruler,regnalyear,jyear,1,2,3,4,5,6,7,8,9,10,11,12,13
NEBUCHADNEZZAR II,34,-571,4/26,5/26,6/24,7/24,8/23,9/21,10/21,11/19,12/19,1/18,2/16,3/17
NEBUCHADNEZZAR II,35,-570,4/16,5/15,6/14,7/13,8/12,9/11,10/10,11/9,12/8,1/6,2/5,3/5
NEBUCHADNEZZAR II,36,-569,4/4,5/3,6/2,7/2,7/31,8/30,9/28,10/28,11/26,12/26,1/24,2/23,3/24
NEBUCHADNEZZAR II,37,-568,4/23,5/22,6/21,7/21,8/19,9/18,10/17,11/16,12/16,1/15,2/13,3/15
NEBUCHADNEZZAR II,38,-567,4/13,5/12,6/11,7/10,8/9,9/7,10/7,11/5,12/5,1/3,2/1,3/3
NEBUCHADNEZZAR II,39,-566,4/2,5/1,5/31,6/29,7/29,8/27,9/26,10/26,11/24,12/24,1/22,2/21
NEBUCHADNEZZAR II,40,-565,3/22,4/20,5/20,6/18,7/17,8/16,9/14,10/14,11/13,12/12,1/10,2/9
NEBUCHADNEZZAR II,41,-564,3/11,4/9,5/8,6/7,7/6,8/5,9/4,10/3,11/2,12/1,12/31,1/29,2/28
NEBUCHADNEZZAR II,42,-563,3/29,4/28,5/27,6/26,7/26,8/24,9/23,10/22,11/21,12/20,1/18,2/17,3/19
NEBUCHADNEZZAR II,43,-562,4/17,5/17,6/15,7/15,8/13,9/12,10/12,11/10,12/10,1/8,2/7,3/7
AMEL-MARDUK,1,-561,4/6,5/5,6/3,7/3,8/2,8/31,9/30,10/29,11/28,12/27,1/26,2/24
AMEL-MARDUK,2,-560,3/26,4/24,5/24,6/22,7/22,8/21,9/19,10/19,11/17,12/17,1/15,2/14,3/15
NERGAL-SHAR-USUR,1,-559,4/14,5/13,6/12,7/11,8/10,9/9,10/8,11/7,12/7,1/5,2/3,3/5
NERGAL-SHAR-USUR,2,-558,4/4,5/3,6/1,7/1,7/30,8/29,9/28,10/27,11/26,12/25,1/24,2/23
NERGAL-SHAR-USUR,3,-557,3/23,4/22,5/21,6/20,7/19,8/17,9/16,10/15,11/14,12/13,1/12,2/11,3/12
NERGAL-SHAR-USUR,4,-556,4/11,5/11,6/9,7/9,8/7,9/5,10/5,11/3,12/3,1/1,1/31,3/1
NABUNAID,1,-555,3/31,4/30,5/30,6/28,7/27,8/26,9/24,10/24,11/22,12/22,1/20,2/19,3/20
NABUNAID,2,-554,4/19,5/19,6/17,7/17,8/15,9/14,10/14,11/12,12/11,1/10,2/8,3/8
NABUNAID,3,-553,4/7,5/7,6/5,7/5,8/3,9/2,10/2,10/31,11/29,12/29,1/27,2/26,3/27
NABUNAID,4,-552,4/26,5/25,6/24,7/24,8/22,9/21,10/21,11/19,12/18,1/17,2/15,3/17
NABUNAID,5,-551,4/16,5/15,6/13,7/13,8/11,9/10,10/10,11/8,12/8,1/6,2/5,3/6
NABUNAID,6,-550,4/5,5/4,6/3,7/2,8/1,8/30,9/29,10/29,11/27,12/27,1/26,2/24,3/25
NABUNAID,7,-549,4/23,5/23,6/21,7/20,8/19,9/17,10/17,11/16,12/15,1/14,2/13,3/14
NABUNAID,8,-548,4/13,5/12,6/10,7/10,8/8,9/7,10/7,11/5,12/4,1/3,2/2,3/3
NABUNAID,9,-547,4/2,5/2,5/31,6/29,7/29,8/27,9/26,10/25,11/24,12/23,1/22,2/20
NABUNAID,10,-546,3/22,4/20,5/20,6/19,7/18,8/17,9/15,10/15,11/13,12/13,1/11,2/10,3/10
NABUNAID,11,-545,4/9,5/8,6/7,7/6,8/5,9/4,10/3,11/2,12/1,12/31,1/29,2/28
NABUNAID,12,-544,3/29,4/28,5/27,6/26,7/25,8/24,9/23,10/22,11/20,12/20,1/18,2/17,3/18
NABUNAID,13,-543,4/17,5/16,6/15,7/14,8/13,9/12,10/11,11/10,12/9,1/8,2/6,3/8
NABUNAID,14,-542,4/6,5/6,6/4,7/4,8/3,9/1,10/1,10/30,11/29,12/28,1/27,2/25
NABUNAID,15,-541,3/26,4/24,5/24,6/22,7/22,8/20,9/19,10/19,11/17,12/17,1/15,2/13,3/15
NABUNAID,16,-540,4/14,5/13,6/12,7/11,8/10,9/9,10/8,11/7,12/6,1/5,2/3,3/5
NABUNAID,17,-539,4/4,5/3,6/1,7/1,7/30,8/29,9/28,10/27,11/25,12/25,1/23,2/22
CYRUS,1,-538,3/24,4/22,5/21,6/20,7/20,8/18,9/17,10/16,11/15,12/14,1/13,2/11
CYRUS,2,-537,3/12,4/10,5/10,6/8,7/8,8/7,9/5,10/5,11/3,12/3,1/1,1/31,3/1
CYRUS,3,-536,3/30,4/29,5/29,6/27,7/27,8/25,9/24,10/23,11/22,12/22,1/20,2/19,3/20
CYRUS,4,-535,4/18,5/18,6/17,7/16,8/15,9/13,10/13,11/11,12/11,1/10,2/8,3/9
CYRUS,5,-534,4/8,5/7,6/6,7/6,8/4,9/3,10/2,11/1,12/1,12/30,1/28,2/27
CYRUS,6,-533,3/28,4/26,5/25,6/24,7/24,8/22,9/21,10/20,11/19,12/18,1/17,2/16,3/17
CYRUS,7,-532,4/16,5/15,6/13,7/13,8/11,9/10,10/10,11/8,12/8,1/6,2/5,3/7
CYRUS,8,-531,4/5,5/5,6/3,7/2,8/1,8/30,9/29,10/29,11/27,12/27,1/25,2/24
CYRUS,9,-530,3/26,4/24,5/23,6/22,7/21,8/20,9/18,10/18,11/16,12/16,1/14,2/13,3/13
CAMBYSES,1,-529,4/12,5/11,6/10,7/10,8/8,9/7,10/6,11/5,12/4,1/3,2/1,3/3
CAMBYSES,2,-528,4/1,5/1,5/30,6/29,7/28,8/27,9/26,10/25,11/24,12/23,1/21,2/20
CAMBYSES,3,-527,3/21,4/20,5/20,6/18,7/18,8/16,9/15,10/14,11/13,12/13,1/11,2/9,3/11
CAMBYSES,4,-526,4/9,5/9,6/8,7/7,8/6,9/4,10/4,11/2,12/1,12/31,1/30,2/28
CAMBYSES,5,-525,3/29,4/27,5/27,6/26,7/25,8/24,9/23,10/22,11/20,12/20,1/19,2/17,3/18
CAMBYSES,6,-524,4/17,5/16,6/14,7/14,8/13,9/12,10/11,11/10,12/9,1/8,2/7,3/8
CAMBYSES,7,-523,4/7,5/6,6/4,7/4,8/2,9/1,10/1,10/30,11/29,12/28,1/27,2/26
CAMBYSES,8,-522,3/27,4/25,5/25,6/23,7/23,8/21,9/20,10/19,11/18,12/17,1/16,2/14,3/15
DARIUS I,1,-521,4/14,5/13,6/12,7/11,8/10,9/8,10/8,11/6,12/6,1/4,2/2,3/4
DARIUS I,2,-520,4/3,5/2,6/1,6/30,7/30,8/29,9/27,10/27,11/25,12/25,1/23,2/21
DARIUS I,3,-519,3/23,4/22,5/21,6/20,7/19,8/18,9/17,10/16,11/15,12/14,1/12,2/11,3/12
DARIUS I,4,-518,4/11,5/10,6/9,7/9,8/7,9/6,10/5,11/4,12/3,1/2,1/31,3/1
DARIUS I,5,-517,3/30,4/29,5/29,6/27,7/27,8/25,9/24,10/23,11/22,12/21,1/20,2/18,3/20
DARIUS I,6,-516,4/18,5/18,6/16,7/16,8/14,9/13,10/13,11/11,12/11,1/9,2/8,3/10
DARIUS I,7,-515,4/8,5/7,6/6,7/5,8/4,9/3,10/2,11/1,11/30,12/30,1/29,2/27
DARIUS I,8,-514,3/29,4/27,5/26,6/25,7/24,8/23,9/21,10/21,11/19,12/19,1/18,2/16,3/17
DARIUS I,9,-513,4/16,5/15,6/13,7/13,8/11,9/10,10/9,11/8,12/7,1/6,2/4,3/6
DARIUS I,10,-512,4/5,5/4,6/2,7/2,8/1,8/30,9/29,10/28,11/27,12/26,1/25,2/23
DARIUS I,11,-511,3/25,4/23,5/23,6/21,7/21,8/20,9/18,10/18,11/16,12/16,1/14,2/13,3/14
DARIUS I,12,-510,4/13,5/12,6/11,7/10,8/9,9/7,10/7,11/6,12/5,1/4,2/2,3/2
DARIUS I,13,-509,4/1,4/30,5/30,6/29,7/28,8/27,9/25,10/25,11/23,12/23,1/21,2/20,3/21
DARIUS I,14,-508,4/20,5/19,6/18,7/18,8/16,9/15,10/14,11/13,12/12,1/11,2/9,3/11
DARIUS I,15,-507,4/9,5/9,6/7,7/7,8/5,9/4,10/4,11/2,12/2,1/1,1/30,3/1
DARIUS I,16,-506,3/30,4/28,5/28,6/26,7/26,8/24,9/23,10/22,11/21,12/20,1/19,2/17,3/18
DARIUS I,17,-505,4/17,5/16,6/14,7/14,8/13,9/11,10/11,11/9,12/9,1/7,2/6,3/7
DARIUS I,18,-504,4/6,5/5,6/4,7/4,8/2,9/1,9/30,10/30,11/28,12/28,1/26,2/25
DARIUS I,19,-503,3/27,4/25,5/24,6/23,7/22,8/21,9/20,10/18,11/18,12/17,1/15,2/14,3/15
DARIUS I,20,-502,4/14,5/13,6/12,7/12,8/10,9/9,10/8,11/7,12/6,1/5,2/3,3/4
DARIUS I,21,-501,4/2,5/2,5/31,6/30,7/30,8/28,9/27,10/26,11/25,12/24,1/23,2/21
DARIUS I,22,-500,3/23,4/21,5/21,6/19,7/19,8/18,9/16,10/16,11/14,12/14,1/12,2/11,3/12
DARIUS I,23,-499,4/11,5/10,6/9,7/8,8/7,9/6,10/5,11/4,12/3,1/2,1/31,3/2
DARIUS I,24,-498,3/31,4/30,5/29,6/28,7/27,8/26,9/24,10/24,11/22,12/22,1/20,2/19,3/19
DARIUS I,25,-497,4/18,5/17,6/16,7/16,8/14,9/13,10/12,11/11,12/10,1/9,2/7,3/9
DARIUS I,26,-496,4/8,5/7,6/5,7/5,8/4,9/2,10/2,10/31,11/30,12/29,1/28,2/26
DARIUS I,27,-495,3/28,4/26,5/26,6/24,7/24,8/23,9/21,10/21,11/19,12/19,1/17,2/15,3/17
DARIUS I,28,-494,4/16,5/15,6/14,7/13,8/12,9/11,10/10,11/9,12/8,1/6,2/5,3/5
DARIUS I,29,-493,4/4,5/3,6/2,7/2,7/31,8/30,9/28,10/28,11/26,12/26,1/24,2/23,3/17
DARIUS I,30,-492,4/23,5/22,6/21,7/21,8/19,9/18,10/17,11/16,12/15,1/14,2/12,3/14
DARIUS I,31,-491,4/12,5/12,6/10,7/10,8/9,9/7,10/7,11/5,12/5,1/3,2/1,3/3
DARIUS I,32,-490,4/2,5/1,5/31,6/29,7/29,8/28,9/26,10/26,11/24,12/23,1/22,2/20,3/21
DARIUS I,33,-489,4/19,5/19,6/18,7/17,8/16,9/14,10/14,11/12,12/12,1/10,2/9,3/10
DARIUS I,34,-488,4/9,5/8,6/7,7/6,8/5,9/4,10/3,11/2,12/1,12/31,1/29,2/28
DARIUS I,35,-487,3/30,4/28,5/27,6/26,7/26,8/24,9/23,10/22,11/21,12/20,1/19,2/17,3/19
DARIUS I,36,-486,4/18,5/17,6/15,7/15,8/13,9/12,10/12,11/10,12/10,1/8,2/6,3/7
XERXES,1,-485,4/6,5/5,6/3,7/3,8/2,8/31,9/30,10/29,11/28,12/27,1/26,2/24
XERXES,2,-484,3/26,4/24,5/24,6/22,7/22,8/21,9/19,10/19,11/17,12/17,1/15,2/14,3/15
XERXES,3,-483,4/14,5/13,6/12,7/11,8/10,9/9,10/8,11/7,12/6,1/5,2/3,3/5
